No.,Code / Ref,License Holder,Company_name_cl,"Type of 
License",Date of application,"Date of 
award",Award_date_cl,Expiry Date,Expiry_date_cl,Commodity,Commodity_cl,"Area 
(sq km)",Area_km2_cl,"Location State/ 
Region",Location_state_cl,License_location_cl,License_location_code_1_cl,"Coordinates of the
 license area"
,Production 0023/2014,"Wai Yan Lwin Co., Ltd.","Wai Yan Lwin Co., Ltd.",,,19.2.2016,2016-02-19,18.2.2019,2019-02-18,Fire Clay,Fire Clay,16.83,16.83,Mandalay,Mandalay,Tada - U,Taw Gyi (B) Kwin,
89,Production 0045/2015,"Tun Min family Decorative Stone and Road Stone Production Co., Ltd.","Tun Min family Decorative Stone and Road Stone Production Co., Ltd.",,,12.11.2014,2014-11-12,11.11.2019,2019-11-11,Lime Stone (Decorative),Decorative Limestone,12,12,Mon ,Mon,Kyail Mayaw,Kawt Kalut,
90,Production 0044/2015,"Seine  Lin  Yaung   Co.,  Ltd.","Seine Lin Yaung Co., Ltd.",,,20.5.2015,2015-05-20,19.5.2020,2020-05-19,Marbel (Decorative),Decorative Marble,5,5,Mandalay,Mandalay,Mattyar,Ngawattaung,
91,Production 0008/2015,"YarZar Min Min Co., Ltd.","YarZar Min Min Co., Ltd.",,,4.2.2015,2015-02-04,3.2.2020,2020-02-03,Marbel (Decorative),Decorative Marble,16.62,16.62,Manadalay,Mandalay,Mattyar,pae Let Inn,
92,Production 0055/2013,"New Era Gold Co., Ltd.","New Era Gold Co., Ltd.",,,4.2.2015,2015-02-04,3.2.2020,2020-02-03,Marble (Decorative),Decorative Marble,100,100,Manadalay,Mandalay,Mattyar,pae Let Inn,
93,Production 0021/2015,"Taung  Paw  Thu  Co., Ltd.","Taung Paw Thu Co., Ltd.",,,13.5.2015,2015-05-13,12.5.2020,2020-05-12,Marble (Decorative),Decorative Marble,15,15,Mandalay,Mandalay,Mattyar,Kauntyoepone,
94,Production 0029/2015,"Yaung  Chi  Nagar   Gold  & Mining  production  Co., Ltd.","Yaung Chi Nagar Gold & Mining production Co., Ltd.",,,23.5.2015,2015-05-23,22.9.2020,2020-09-22,Marble (Decorative),Decorative Marble,20,20,Mandalay,Mandalay,Singu,Ngagamountaung,
95,Production 0002/2015,"Phyu Zin Co., Ltd","Phyu Zin Co., Ltd",,,15.1.2015,2015-01-15,14.1.2020,2020-01-14,Coal,Coal,60,60,Magwe ,Magway,Min Bu,Phayar,
96,Production 0036/2015,"Min  Khit  Thit   Co., Ltd.","Min Khit Thit Co., Ltd.",,,11.6.2015,2015-06-11,10.6.2020,2020-06-10,Coal,Coal,49.5,49.5,"Shan State,",Shan,Tachileik,Kyauk  Hlaing  Gu,
97,Production 0039/2015,"Win Pyi Mining Co., Ltd.","Win Pyi Mining Co., Ltd.",,,11.6.2015,2015-06-11,10.6.2020,2020-06-10,Coal,Coal,206.6,206.6,"Shan  State,",Shan,Kalaw,Yataung,
98,Production 0012/2012,"Kokant Shwe Nagar Co., Ltd.","Kokant Shwe Nagar Co., Ltd.",,,13.2.2015,2015-02-13,12.2.2020,2020-02-12,Coal,Coal,82.64,82.64,Sagaing ,Sagaing,Kalewa,Ywar Thar,
99,Production 0016/2015,"TharSu Co., Ltd.","TharSu Co., Ltd.",,,12.3.2015,2015-03-12,11.3.2020,2020-03-11,Coal,Coal,49.5,49.5,"Shan State,",Shan,Kalaw,Wat Phyu,
100,Production 0013/2015,Shwe A Lin Kar Industrial Production C,Shwe A Lin Kar Industrial Production C,,,19.2.2015,2015-02-19,18.2.2020,2020-02-18,Coal,Coal,46.48,46.48,Mandalay ,Mandalay,Tharzr,WarYwet,
,Production 0014/2015,Shwe A Lin Kar Industrial Production C,Shwe A Lin Kar Industrial Production C,,,,2015-02-19,,2020-02-18,,Coal,49.58,49.58,,Mandalay,,,
,Production 0015/2015,Shwe A Lin Kar Industrial Production C,Shwe A Lin Kar Industrial Production C,,,,2015-02-19,,2020-02-18,,Coal,49.58,49.58,,Mandalay,,,
101,Production 0020/2015,"Linn  Co., Ltd.","Linn Co., Ltd.",,,29.4.2015,2015-04-29,28.4.2020,2020-04-28,Coal,Coal,207,207,Magwe ,Magway,Min  Hla,Ye Ngan,
102,Production 0022/2015,"Phone  Hla  Minn   Co., Ltd.","Phone Hla Minn Co., Ltd.",,,20.5.2015,2015-05-20,19.5.2020,2020-05-19,Coal,Coal,232,232,Magwe  ,Magway,Min Hla,Sappyar,
103,Production 0034/2015,Carbon  Energy  Company  limited,Carbon Energy Company limited,,,29.10.2015,2015-10-29,28.10.2020,2020-10-28,Coal,Coal,123.97,123.97,Magwe  ,Magway,Min Hla,Kantoke,
104,Production 0036/2015,"Win  Arr  Man Mining  Co., Ltd.","Win Arr Man Mining Co., Ltd.",,,11.6.2015,2015-06-11,10.6.2020,2020-06-10,Coal,Coal,206.6,206.6,Magwe,Magway,Min Hla,Kantoke,
105,Production 0046/2015,"Maw Shan Myanmar Mining Co., Ltd.","Maw Shan Myanmar Mining Co., Ltd.",,,12.11.2014,2014-11-12,11.11.2019,2019-11-11,Coal,Coal,245,245,Sagaing ,Sagaing,Mawleik,Maw Ku,
106,Production 0095/2015,"Ngwe  Pin Lon  Mining  Co., Ltd.","Ngwe Pin Lon Mining Co., Ltd.",,,17.6.2015,2015-06-17,16.6.2020,2020-06-16,Coal,Coal,148,148,"Shan State,",Shan,Pen  Lon,Naung  Lei,
107,Production 0066/2014,"Tein Shune Mining Co., Ltd.","Tein Shune Mining Co., Ltd.",,,31.12.2014,2014-12-31,30.12.2019,2019-12-30,Coal,Coal,46,46,Shan ,Shan,Kalaw,Lwe Lon Taung,
108,Production 0040/2014,"Chit Lin Myaing Mining Co., Ltd.","Chit Lin Myaing Mining Co., Ltd.",,,10.9.2014,2014-09-10,9.9.2019,2019-09-09,Gypsum,Gypsum,96,96,Kayin,Kayin,Hline Bwe,Khobine,
109,Production 0033/2014,"24 Hour Mining & Inductry Co., Ltd.","24 Hour Mining & Inductry Co., Ltd.",,,9.4.2014,2014-04-09,8.4.2017,2017-04-08,Gypsum,Gypsum,76.66,76.66,Tanintharyi ,Tanintharyi,Myittar,A Yu Chaung Phyar,
110,Production 0001/2015,"Top White Tiger Co., Ltd.","Top White Tiger Co., Ltd.",,,15.1.2015,2015-01-15,14.1.2020,2020-01-14,Gypsum,Gypsum,49.59,49.59,Shan,Shan,Mountmae,Nantluok,
111,Production 0055/2014,"Thitsar Pyaesone Co., Ltd.","Thitsar Pyaesone Co., Ltd.",,,3.12.2014,2014-12-03,2.12.2019,2019-12-02,Gypsum,Gypsum,49.5,49.5,Kayin,Kayin,Hline Bwe,Maethamuhta,
112,Production 0010/2015,Myanmar  Economic  Corporation,Myanmar Economic Corporation,,,11.2.2015,2015-02-11,10.2.2020,2020-02-10,Gypsum,Gypsum,1388.5,1388.5,"Kayin State,",Kayin,Hlaing  Bwe,Quele,
113,Production 0031/2015,Dawei  Industrial  Limited,Dawei Industrial Limited,,,14.10.2015,2015-10-14,13.10.2020,2020-10-13,Quartz,Quartz,200.6,200.6,Tanintharyi,Tanintharyi,Dawei,Amochaungphyar,
114,Production 0011/2015,Myanmar  Oik  &  Gas  Enterprise,Myanmar Oik & Gas Enterprise,,,1.7.2015,2015-07-01,30.6.2025,2025-06-30,Bentonite,Bentonite,182.8,182.8,Sagaing ,Sagaing,Khunhla,Myanit,
115,Production 0001/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,8.1.2014,2014-01-08,7.1.2017,2017-01-07,Quartz,Quartz,792,792,Mandalay,Mandalay,Pyawbwe,Shwenyaungphoo,
,Production 0002/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0003/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0004/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0005/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0006/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0007/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0008/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0009/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0010/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0011/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0012/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0013/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0014/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0015/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
,Production 0016/2014,"Shwe Pyi Nagar Co., ltd.","Shwe Pyi Nagar Co., ltd.",,,,2014-01-08,,2017-01-07,,Quartz,,792,,Mandalay,,,
