Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl,Location (Township),License_location_cl,Location (Detail),License_location_code_1_cl,Coordinates of the license area
Production 0013/2011,"Young Investment Group 
Inductrial Co., Ltd.","Young Investment Group Inductrial Co., Ltd.",Large Scale,Large,4.2.2011,2011-02-04,3.2.2036,2036-02-03,Lime Stone ,Limestone,,,Mandalay,Mandalay,Tharzi,Tharzi,Tha Pyay Taung,Tha Pyay Taung,
Production 0014/2011,"Young Investment Group 
Inductrial Co., Ltd.","Young Investment Group Inductrial Co., Ltd.",Large Scale,Large,4.2.2011,2011-02-04,3.2.2036,2036-02-03,Lime Stone ,Limestone,,,Mandalay,Mandalay,Tharzi,Tharzi,Nwar La Bo Taung,Nwar La Bo Taung,
Production 0015/2011,"Young Investment Group 
Inductrial Co., Ltd.","Young Investment Group Inductrial Co., Ltd.",Large Scale,Large,4.2.2011,2011-02-04,3.2.2036,2036-02-03,Lime Stone ,Limestone,,,Mandalay,Mandalay,Tharzi,Tharzi,Nyaung Pin Taung,Nyaung Pin Taung,
Production 0019/2011,"Mine Htet Co., Ltd.","Mine Htet Co., Ltd.",Large Scale,Large,15.2.2011,2011-02-15,14.2.2021,2021-02-14,Coal,Coal,3.966,3.966,Shan,Shan,Tant Yan,Tant Yan,Man Pan and Monma,Man Pan and Monma,"93 J/1,2+5+6"
Production 0010/2014,Than Taw Myat,Than Taw Myat,Large Scale,Large,3.12.2014,2014-12-03,2.12.2024,2024-12-02,Lime Stone ,Limestone,0.527,0.527,Mandalay,Mandalay,Kyauk Se,Kyauk Se,Taung Taw ,Taung Taw,
Production 0031/2011,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.3.2011,2011-03-08,7.3.2021,2021-03-07,Coal,Coal,12.667,12.667,Sagaing,Sagaing,Mawleik,Mawleik,Nant Pan Mon Chaung,Nant Pan Mon Chaung,"84 I/1, 2. 5. 6"
Production 0048/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0049/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0050/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0051/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0052/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0053/2012,"Manadaly distribution and Mining Co., Ltd.","Manadaly distribution and Mining Co., Ltd.",Large Scale,Large,8.11.2012,2012-11-08,7.11.2015,2015-11-07,Coal,Coal,,,Shan,Shan,Nant San ,Nant San,Naung Hee,Naung Hee,93 G/16
Production 0003/2013,Mandalay Cement Industries,Mandalay Cement Industries,Large Scale,Large,9.5.2013,2013-05-09,8.5.2023,2023-05-08,Lime Stone ,Limestone,0.566,0.566,Mandalay,Mandalay,Kyaukse,Kyaukse,Sin Tet Taung,Sin Tet Taung,
Production 0003/2011,"Green Asia Co., Ltd.","Green Asia Co., Ltd.",Large Scale,Large,13.1.2011,2011-01-13,12.1.2021,2021-01-12,Lime Stone ,Limestone,2.751,2.751,Mandalay,Mandalay,Tharzi,Tharzi,Sai Taung,Sai Taung,93 D/5
Production 0019/2013,"Green Asia Co., Ltd.","Green Asia Co., Ltd.",Large Scale,Large,19.6.2016,2016-06-19,18.6.2017,2017-06-18,Coal,Coal,0.2,0.2,Shan,Shan,Lashio,Lashio,Sanya,Sanya,93 F/13
Production 0009/2011,"June Industrial and  Production Co., Ltd.","June Industrial and Production Co., Ltd.",Large Scale,Large,29.10.2010,2010-10-29,28.10.2020,2020-10-28,Lime Stone ,Limestone,1.442,1.442,Mon,Mon,Kyauk Ma Yaw ,Kyauk Ma Yaw,North Pyar Taung,North Pyar Taung,94 H/15 S
Production 0021/2011,"Pacific Link Cement    Production  Co., Ltd.","Pacific Link Cement Production Co., Ltd.",Large Scale,Large,16.3.2011,2011-03-16,15.3.2036,2036-03-15,Lime Stone ,Limestone,1.295,1.295,Mon,Mon,Kyauk Ma Yaw ,Kyauk Ma Yaw,South Pyar Taung,South Pyar Taung,93 H/15
Production 0033/2011,"Kan Baw Za Industrial Co., Ltd,","Kan Baw Za Industrial Co., Ltd,",Large Scale,Large,25.3.2011,2011-03-25,24.3.2021,2021-03-24,Lime Stone ,Limestone,2.598,2.598,Shan,Shan,Taung Gyi,Taung Gyi,Pinpat,Pinpat,93 H/2
Production 0014/2014,"Kan Baw Za Industrial Co., Ltd,","Kan Baw Za Industrial Co., Ltd,",Large Scale,Large,30.12.2014,2014-12-30,30.12.2024,2024-12-30,Gypsum,Gypsum,1.011,1.011,Shan,Shan,Mauk Mae,Mauk Mae,Nant Lut,Nant Lut,
Production 0040/2011,"Farmer Pho Yazar Mining Co., Ltd,","Farmer Pho Yazar Mining Co., Ltd,",Large Scale,Large,30.3.2011,2011-03-30,29.3.2020,2020-03-29,Lime Stone ,Limestone,0.849,0.849,Mon,Mon,Kyauk Ma Yaw ,Kyauk Ma Yaw,Attayan Taung,Attayan Taung,94 H/165
Production 0041/2011,"United Cement Co., Ltd.","United Cement Co., Ltd.",Large Scale,Large,30.3.2011,2011-03-30,29.3.2021,2021-03-29,Lime Stone ,Limestone,6.471,6.471,Kayin,Kayin,Hpa An,Hpa An,Mi Kayin Taung and ,Mi Kayin Taung and,94 G/12 & H/9
Production 0042/2011,"Asia Phyo Mining Co., Ltd.","Asia Phyo Mining Co., Ltd.",Large Scale,Large,30.3.2011,2011-03-30,29.3.2021,2021-03-29,Lime Stone ,Limestone,2.428,2.428,Sagaing,Sagaing,Kant Balu,Kant Balu,Zin Taung,Zin Taung,84 M/15
Production 0004/2011,"Green Strategic Mining Co., Ltd.","Green Strategic Mining Co., Ltd.",Large Scale,Large,18.1.2011,2011-01-18,17.1.2021,2021-01-17,Quartz ,Quartz,2.3,2.3,Shan,Shan,Nankhan and ,Nankhan and,Mant My  and ,Mant My and,93 E/10
Production 0009/2012,"Good Brother Mission Co., Ltd,","Good Brother Mission Co., Ltd,",Large Scale,Large,28.6.2012,2012-06-28,27.6.2022,2022-06-27,Lime Stone(Decorative),Decorative Limestone,0.849,0.849,Manadalay,Mandalay,Mat Tyar ,Mat Tyar,Taung Kan ,Taung Kan,93  B/4
Production 0004/2012,"U Taw Taw  and Sons Co., Ltd.","U Taw Taw and Sons Co., Ltd.",Large Scale,Large,29.4.2002,2002-04-29,28.4.2017,2017-04-28,Marble Decorative,Decorative Marble,0.885,0.885,Manadalay,Mandalay,Mattyar,Mattyar,Pae Lei Ann ,Pae Lei Ann,93  B/3 LA
Production 000412015,"Htoo  Han  Thit  Co., Ltd.","Htoo Han Thit Co., Ltd.",Large Scale,Large,7.1.2015,2015-01-07,6.1.2025,2025-01-06,Marble Decorative,Decorative Marble,0.404,0.404,Manadalay,Mandalay,Sintku,Sintku,NgweTaung,NgweTaung,
Production 0003/2013,"Manadaly Cement Co., Ltd.","Manadaly Cement Co., Ltd.",Large Scale,Large,9.5.2013,2013-05-09,8.5.2023,2023-05-08,Lime Stone,Limestone,0.566,0.566,Manadalay,Mandalay,Kyaukse,Kyaukse,Taung Taw,Taung Taw,93 C/2 &   6 F
Production 0004/2014,"Myanmar Apex  Co., Ltd.","Myanmar Apex Co., Ltd.",Large Scale,Large,2.4.2014,2014-04-02,1.4.2024,2024-04-01,Coal,Coal,1.837,1.837,Shan,Shan,Kyauk me,Kyauk me,Narsai,Narsai,93 B/13 
Production 0013/2014,"Htoo  Han  Thit  Co., Ltd.","Htoo Han Thit Co., Ltd.",Large Scale,Large,30.12.2014,2014-12-30,29.12.2024,2024-12-29,Coal,Coal,0.386,0.386,Sagaing,Sagaing,Kalay,Kalay,Kyat  Pa  NetChaung,Kyat Pa NetChaung,"84 I/ 2,3,6,7"
Production 0010/2014,"Kan Pwint  OoCo.,Ltd.","Kan Pwint OoCo.,Ltd.",Large Scale,Large,17.12.2014,2014-12-17,16.12.2024,2024-12-16,Coal,Coal,1.676,1.676,Sagaing,Sagaing,Kalay,Kalay,Paluzawa,Paluzawa,84 I/ 7
Production 0009/2014,"Htun  Taught  Sa Co,. Ltd.","Htun Taught Sa Co,. Ltd.",Large Scale,Large,26.11.2014,2014-11-26,25.11.2024,2024-11-25,Coal,Coal,5.689,5.689,Sagaing,Sagaing,Tamu,Tamu,Kyautpyinchaung,Kyautpyinchaung,
Production 0008/2013,"24 Hours  Mining  Co,.Ltd.","24 Hours Mining Co,.Ltd.",Large Scale,Large,16.9.2013,2013-09-16,15.9.2023,2023-09-15,Lime Stone ,Limestone,11.655,11.655,Tanintharyi,Tanintharyi,Tanintharyi,Tanintharyi,PaungNi Kyaut  Taung,PaungNi Kyaut Taung,94 J/15
Production 0011/2014,"Htut Kaung  Kyaw  Co.,ltd.","Htut Kaung Kyaw Co.,ltd.",Large Scale,Large,17.12.2014,2014-12-17,16.12.2024,2024-12-16,Coal,Coal,4.041,4.041,Sagaing,Sagaing,Mawleik,Mawleik,Quaytaut,Quaytaut,84 I/ 6
Production 0012/2014,"Manadaly Gold Friend Mining Co., Ltd.","Manadaly Gold Friend Mining Co., Ltd.",Large Scale,Large,17.12.2014,2014-12-17,16.12.2024,2024-12-16,Coal,Coal,0.777,0.777,Sagaing,Sagaing,Kalawa,Kalawa,Paluzawa,Paluzawa,
Production 0012/2012,"Model industry Co., Ltd.","Model industry Co., Ltd.",Large Scale,Large,5.9.2012,2012-09-05,4.9.2022,2022-09-04,Barite,Baryte,0.404,0.404,Shan,Shan,Ywar Ngan,Ywar Ngan,Toke Toe,Toke Toe,93 C/7
Production 0011/2012,Eden Energy &Natural Resources Development Company Limited,Eden Energy &Natural Resources Development Company Limited,Large Scale,Large,21.6.2012,2012-06-21,20.6.2017,2017-06-20,Barite,Baryte,7.943,7.943,Mandalay,Mandalay,Pyin Oo  Lwin,Pyin Oo Lwin,Aniskan,Aniskan,93 C/5
Production 001/2013,"First Resources Co.,Ltd","First Resources Co.,Ltd",Large Scale,Large,1.1.2013,2013-01-01,31.12.2023,2023-12-31,Gypsum,Gypsum,,,Shan (North),Shan,Hsipaw ,Hsipaw,Khar Lain,Khar Lain,93 F/6
Production 002/2013,"United MasterpieceMining Co.,Ltd","United MasterpieceMining Co.,Ltd",Large Scale,Large,1.1.2013,2013-01-01,31.12.2023,2023-12-31,Barite,Baryte,0.353,0.353,Shan(South),Shan,Kalaw ,Kalaw,Heho,Heho,93 D/9
Production 002/2013,"United MasterpieceMining Co.,Ltd","United MasterpieceMining Co.,Ltd",Large Scale,Large,1.1.2013,2013-01-01,31.12.2023,2023-12-31,Barite    Powder,Baryte Powder,,,Mandalay,Mandalay,"Thazi Township,","Thazi Township,",Thazi ,Thazi,93 D/1
Production 0021/2010,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,29.12.2010,2010-12-29,28.12.2017,2017-12-28,Coal,Coal,0.4,0.4,Shan,Shan,Kyauk me,Kyauk me,Narsai,Narsai,93P/8
Production 0022/2010,"Tun Kyawe Paw co., Ltd.","Tun Kyawe Paw co., Ltd.",,,29.12.2010,2010-12-29,28.12.2017,2017-12-28,Coal,Coal,0.4,0.4,Shan,Shan,Kyauk me,Kyauk me,Narsai,Narsai,93P/8
Production 0047/2012,"Pothar Mining Co., Ltd.","Pothar Mining Co., Ltd.",Large Scale,Large,22.10.2012,2012-10-22,21.10.2022,2022-10-21,Coal,Coal,0.182,0.182,Magwe,Magway,Min Hla,Min Hla,Kan Toke,Kan Toke,85 I/ 9
Production 0004/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",Large Scale,Large,12.8.2015,2015-08-12,11.8.2025,2025-08-11,Coal,Coal,0.6,0.6,Magwe ,Magway,Minbu,Minbu,Than puyar Kine,Than puyar Kine,93 P/13&14
Production 0005/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",Large Scale,Large,12.8.2015,2015-08-12,11.8.2025,2025-08-11,Coal,Coal,0.6,0.6,Magwe ,Magway,Minbu,Minbu,Than puyar Kine,Than puyar Kine,93 P/13&14
Production 0007/2013,"Myint Myat Chan Aye Co., Ltd.","Myint Myat Chan Aye Co., Ltd.",Large Scale,Large,12.8.2015,2015-08-12,11.8.2025,2025-08-11,Coal,Coal,0.6,0.6,Magwe ,Magway,Minbu,Minbu,Than puyar Kine,Than puyar Kine,93 P/13&14
Production 0007/2014,"Shwe Pauk Pauk   Co.,Ltd.","Shwe Pauk Pauk Co.,Ltd.",Large Scale,Large,21.11.2014,2014-11-21,20.11.2024,2024-11-20,Coal,Coal,3.091,3.091,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5 & 9
Production 0008/2014,"Shwe Pauk Pauk   Co.,Ltd.","Shwe Pauk Pauk Co.,Ltd.",Large Scale,Large,21.11.2014,2014-11-21,20.11.2024,2024-11-20,Coal,Coal,3.091,3.091,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5 & 9
Production 0009/2014,"Shwe Pauk Pauk   Co.,Ltd.","Shwe Pauk Pauk Co.,Ltd.",Large Scale,Large,21.11.2014,2014-11-21,20.11.2024,2024-11-20,Coal,Coal,3.091,3.091,Manadalay,Mandalay,Tharzi,Tharzi,Kyat Sakhan,Kyat Sakhan,93 D/5 & 9
Production 0001/2014,"Dragon Cement Co., Ltd.","Dragon Cement Co., Ltd.",Large Scale,Large,28..2.2014,2014-02-28,27.2.2024,2024-02-27,Coal,Coal,1.416,1.416,Shan,Shan,Nantsan,Nantsan,Kauk Galei,Kauk Galei,93 G/12 & 93 H/9
